objectid,filename,title,transliteration,synonym,language,format,description,subject,date,shelfmark,source,link,creative commons,rights,rightsstatement,citation
ccg0011,corona_file.jpg,corona,قرونة قورونة קרונה קורונה,"escudo, dablūn, doblón",Judaeo-Spanish,image/jpeg,"Gold coin minted within the Spanish empire that can appear in Judeo-Arabic with the alternate spelling קורונה (T-S Misc. 28.168r l.17) or as דבלון which is an escudo gold coin (AIU VII.F.39r line 28). Here in the image for this entry, the account reads: וקרונה א ""and 1 corona"" (with the lower aleph indicating a quantity of 1). As Tortella and García Ruiz note, ""the monetary system – the set of monetary units – which Spain used through the early modern period well into the nineteenth century was created by Ferdinand and Isabella, the Catholic Monarchs, at the close of the Middle Ages.... The Catholic Monarchs found a chaotic monetary situation upon their joint assumption of the crown.... Their monetary reform of 1497 established a trimetallic system whose main units were the excelente, a gold coin (also called ducat, escudo, or doblón); the real de plata, a silver coin (later known as real de a ocho, peso duro, thaler, or dollar) and the blanca, a vellón coin.... Vellón is... an alloy of copper and silver."" (Tortella and García Ruiz, 6-7). The escudo is also referred to as a corona in Geniza documents, an alternative label confirmed by the secondary literature (Royo Martínez, 87) and it should be noted that the standards of the coin shifted significantly in 1535CE to the extent that official references distinguished ""escudos"" as distinct from ""ducados"" minted according to the standards of 1497CE (Ruiz Trapero, 359).",coin; Spanish; Early Modern,1497,ENA NS 33.12r line 6,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Martínez, María del Mar Royo. ""Antecedentes de la reforma monetaria de Felipe II de 1566 a través del proyecto de Francisco de Almaguer y Diego de Carrera."" Espacio Tiempo y Forma Serie IV, Historia Moderna 11 (1998): 85-109.

►Ruiz Trapero, María. ""El real de a ocho: su importancia y trascendencia."" IV Jornadas Científicas sobre Documentación de Castilla e Indias en el siglo XVI (2005): 357-378.

►Tortella, Gabriel. José Luis García Ruiz. Spanish Money and Banking: A History. Springer, 2013."
ccg0012,darkmonim_file.jpg,darkmonīm,דרכמונים ,"dīnār, mithqāl",Hebrew,image/jpeg,"Alternative term for the gold dīnār that Olszowy-Schlanger notes is especially common in medeival Karaite documents (Olszowy-Schlanger, 220).",coin; Medieval; Karaite,,ENA 2804.1r line 13,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"► Olszowy, Schlanger. Karaite Marriage Contracts from the Cairo Geniza: Legal Traditions and Community Life in Mediaeval Egypt and Palestine. Brill: Leiden, 1997."
ccg0013,dinar_file.jpg,dīnār ,دينار דינאר,mithqāl,Judaeo-Arabic,image/jpeg,"| Gold coin minted under various state entities in Egypt that requires an especially detailed description and array of citations. The Fatimid Caliphate ""continued the Roman-Byzantine monetary system both in its name, which goes back to Latin denarius, and in its weight. Its standard weight was 4.233 grams, and.... in general, dinars struck in different cities under the various Fatimid caliphs did not differ in weight or alloy."" In addition to this general overview, Goitein also noted in the that ""several direct and indirect testimonies of the Geniza prove that 2 dinars were regarded as a monthly income sufficient for a lower middle class family. For the sake of illustration, it seems therefore permissible to equate the economic value of a dinar with that of approximately a hundred [c.1960-1970] U.S.A. dollars"" (Goitein, MS I, 359). This estimate of the medieval gold dinar's buying power still holds in 21st-century scholarship (Goldberg, xix). During the Fatimid era other versions of the dinar, especially the Almoravid, became mainstays of the international economy (for an in-text example, see: DK 322r l. 16). Oberbauer notes that ""there was a high demand for murābiṭī dinars in Egypt ca. 1100 due to the fact that this coin... was quickly becoming the international medium of payment, for which reason traders from the Maghreb demanded to be paid in it."" (Oberauer, 440). 

| The Crusader States minted imitations of the Fatimid dinar that were intended to exist at parity with one another. Malloy et. al. note that, ""after marching down the coast of Syria, the Crusaders conquered Jerusalem in June, 1099, they assumed the problems of maintaining control of their conquest. Surrounded by Islamic states, most formidable of which was the Fatimid Caliphate of Egypt, Latin Jerusalem, in order to survive, had to deprive the neighboring Saracen states of theis Syrian ports and gain control of their profitable conquest. Part of this process was the counterfeiting, as it may be called, of Fatimid gold money. After seizing some of the Egyptians' ports in Syria, which happened to have functioning or recently functioning gold mints - Acre, for example, in 1104, and Tyre in 1124 - the Crusaders continued issuing gold dinars in order to increase the revenues of the state and to facilitate trade.... no gold mints existed in Byzantine-influenced northern Syria, though Constantinopolitan gold circulated there. Chroniclers tells us that the gold coins of the Byzantine Emperor Michael VII (1071-78) were especially favored and still current in northern Syria. Egyptian influenced southern Syria and Palestine, on the other hand, had had several Fatimid mints producing gold dinars. Since silver coins had virtually ceased to be minted and copper fals were rare in the Fatimid Caliphate, the gold denomination was the principal coin used in the south. It has also been suggested that the Crusaders, because they knew that the Arabic gold was more stable and of higher intrinsic value on the international market that the contemporary Byzantine gold hyperpyron, chose the Arabic coin. Opportunity and necessity, therefore provided Latin Christians in Jerusalem, who had known no gold currency in the Frankish West, with an Islamic-type gold coinage.... The Crusaders also minted Ayyubid types during the thirteenth century, one specimin in imitation of the Ayyubid prince Saladin (1169-93)"" (Malloy et. al., 27; see also, Ehrenkreutz, 167-180). 

| The Ayyubid sultans continued Fatimid-era standards but the dinar was produced in Egyptian mints rather than Syrian ones. As Bresc notes: ""the fracture between the two [regional] spheres consists in the primary metal employed for the striking: gold or silver. Gold coinage of the Ayyubid period is mostly Egyptian. Struck with great care, dinars were issued in Cairo and Alexandria. The weights of the dinars varied as gold became scarcer in Ayyubid Egypt.... However, the dinar's alloy remained almost unchanged in the time and contains a percentage of fine gold of about 96-97%, which is slightly lower than under the Fatimids.... So while gold and billon were coined essentially in Egypt, silver and copper coins were the regular currencies of Syria"" (Bresc, 409-410). 

| The Mamluk sultans continued minting the dinar and there are a number of regnal variants that aid in dating Geniza documents. Bacharach notes ""during the first period of Mamluk rule, the Bahri (648-784/1250-1382), there were only minor changes initiated in monetary policy.... The Bahri dinars were of a high degree of fineness, but the weight of individual pieces varied from 5 to over 15 grams.... The usual official exchange rate of 1 dinar to 20 dirhams referred not to a real dinar but a theoretical gold coin of 4.25 grams. This weight was known as the mithqal"" (Bacharach, 80). Across the Burji Mamluk period a variety of dinar variants also existed such as the harja (rarely minted after 1407CE), the Sālimī (minted beginning in 1401CE), and the Naṣirī– which also emerged in the early 1400s to replace the Sālimī (Ibid, 85-86, 91). These latter variants emerged yet became defunct in quick succession as a result of repeated Mamluk efforts to curtail the Venetian ducat's circulation and buying power in 14th-15th-century Egypt. The most succesful attempt to counter the circulation of Venetian currency came with the development of the ashrafi dinar, first under Sultan al-Ashraf Barsbay in 1425-1428CE (Pamuk, 60, 65). 

| The term dinar is also occasionally used in documents from the Ottoman period en lieu of sultani (Pamuk, 183; Hanna, 191). For some examples, see: Yevr.-Arab. II 1511r line 22, ENA 3974.1 line 3.",coin; Medieval and Early Modern; Fatimid; Ayyubid; Mamluk; Ottoman,,"ENA 3974.3r line 7 (upper), ENA NS 2.41r line 11 (lower)",Jewish Theological Seminary Library,,,Images courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bacharach, Jere L. ""The Diner Versus the Ducat."" International Journal of Middle East Studies 4.1 (1973): 77-96.

►Bresc, Cécile. ""Quseir al-Qadim: a Hoard of Islamic Coins from the Ayyubid period."" Revue Numismatique 164.6 (2008): 407-436.

►Ehrenkreutz, Andrew S. ""Arabic Dinars Struck by the Crusaders: A Case of Ignorance or of Economic Subversion."" Journal of Economic and Social History of the Orient 7 (1964): 165-182.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Goldberg, Jessica. Trade and Institutions in the Medieval Mediterranean: the Geniza Merchants and their Business World. Cambridge: Cambridge University Press, 2012.

►Hanna, Nelly. Making Big Money in 1600: The Life and Times of Isma'il Abu Taqiyya, Egyptian Merchant. Syracuse: Syracuse University Press, 1998.

►Malloy, Alex G. Irene Fraley Preston. Arthur J. Seltman. Coins of the Crusader States, 1098-1291: Including the Kingdom of Jerusalem and Its Vassal States of Syria and Palestine, the Lusignan Kingdom of Cyprus (1192-1489), and the Latin Empire of Constantinople and Its Vassal States of Greece and the Archipelago. Attic Books, 1994.

►Oberauer, Norbert. ""Money in Classical Islam: Legal Theory and Economic Practice."" Islamic Law and Society 25.4 (2018): 427-466.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0014,dinar_abb_file.jpg,dīnār abbreviation,דינ,,Judaeo-Arabic,image/jpeg,"An abbreviated reference to the gold dinar, in this case from an eleventh century letter discussing trade with Sicily. Note the element of cursivity in the second example where the scribe has elided the letter nun with the upper abbreviation marker.",coin; abbreviation; Medieval; Fatimid; Ayyubid; Mamluk,,ENA 2727.8a (recto) lines. 13-15,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,
ccg0015,dinarfractions_file.jpg,dīnār fractions,רבע דינאר,,Judaeo-Arabic,image/jpeg,"Unit of account, except for the medieval quarter dīnār commonly minted in Sicily and Tunisia– which is featured here as this entry's image. Goitein observes that ""the other fractions of a dinar, continuously mentioned in letters and accounts, such as 1/2, 1/3, 1/6, 1/8, as a rule, were not coins, but mostly represented money of account. The dinar was divided into 24 carats [qīrāṭ].... the qīrāṭ too was money of account... [and] was subdivided into three ḥabbas, or grains, and six dānaqs. In different areas and periods these subdivisions had varying values; those indicated here are the ones found in Geniza documents. The 1/24, 1/72, and 1/144 dinars mentioned in this book refer to qīrāṭ, ḥabbas, and dānaqs, respectively"" (Goitein, MS I, 359).
The popularity of the Fatimid quarter dīnār led to a wide variety of imitations (known as tarì) from the eleventh century onwards yet it is crucial to note that the latter term was also used to designate Fatimid money before Norman imitations first appeared. Day notes accordingly, ""by the middle of the tenth century, payments not only in Salerno but also in Amalfi and Naples were rendered almost exclusively in tari. Before the last quarter of the century, stipulations for payment to be rendered in tari referred to the Arab quarter-dīnār, and thereafter such stipulations referred also to their southern Italian imitations. What this reflects is the definitive abandonment of the silver denarius in southern Italy, or at any rate Campania, and the first genuine 'return to gold' in Western Christendom"" (Day, 43-44). ",coin; unit of account; Medieval,,T-S AS 146.5r line 5,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Day Jr., William R. ""The monetary reforms of Charlemagne and the circulation of money in early medieval Campania."" Early Medieval Europe 6.1 (1997): 25-45.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0016,dirham_file.jpg,dirham,درهم דרהם,,"Judaeo-Arabic, Arabic",image/jpeg,"| Silver coin minted under the Fatimid caliphate that Goitein observes had two major variants: firstly, nuqra which was pure silver and exhanged on average at 40:1 with the gold dinar. There also existed low value dirhams whose exchange rates were more variable (Goitein, MS I, 390) that were referred to as dirham waraq or dirham aswad (Balog, 123; Diem and Radenberg,  66). Goitein notes that these lower-value dirhams become more common in Geniza documents after the Fatimid period and that the waraq dirhams were not always identical to those identified as aswad (Goitein, MS I, 388).

| After the Fatimid period, the nuqra dirham and lower value waraq or aswad variant continued to exist, yet a wide array of other coin types emerged under the Ayyubids such as the Nāṣiri and Kāmilī (Balog, 126-130). Bresc notes, however, that ""during the thirteenth century, the majority of the bulk of silver produced in Egypt consisted of these dirham aswad whose coinage ended under the rule of the Sultan al-Kamil"" (Bresc, 410). By the early 1200s once the buying power of Ayyubid dirham coins had become clear, the Crusader States began to mint imitation dirhams. Malloy et. al. explain that ""during the Ayyubid period the Moslem Syrian mints of Aleppo and Damascus issued high quality silver coins, while Egypt's silver supply was so limited that the Egyptian silver coins became quite inferior....The [Ayyubid] Syrian dirhams were nominally worth three times the Egyptian waraq dirhams and approximately 1/13.5 the dinar. As far as we know, beginning in the first quarter of the thirteenth century, the Crusaders also began to issue silver coins in direct imitation of the Ayyubid Syrian dirham. The Crusaders, therefore, did not begin their issue of imitative dirhams until the relative strength of the Syrian dirhams was well apparent.... The Cusader imitations again are of similar weight and alloy to their prototypes, averaing 2.78 grams. The Crusader issues with Christian dates, religious creeds, and non-sectarian religious inscriptions"" (Malloy et. al., 28).

| Under the Mamluk Sultanate a variety of new dirham types were issued, such as the Zāheri, Maḥmūdi, and Muayyadi (which can each assist with dating given that they are regnal variants). In the fifteenth century, the Mamluk dirham lost much of its value with reference to the dinar and exchanged at ratios as low as 320:1 and even 460:1 (Balog, 134-135). Despite the significant drop in buying power in the fifteenth century, the Mamluk muayyadi dirham variant retained widespread significance as a label for half-dirhams in Ottoman Egypt (although the weight/purity standards had shifted).

| There was some continuity in dirham production across the Mamluk and Ottoman periods of rule in Egypt. As Nicol notes, ""rather than introduce the Ottoman akçe, which weighed about 0.7 grams and used in most other parts of the empire, Selim continued the Mamlūk dirham, although at a reduced weight of about 0.9-0.95 grams, to the end of his reign [1520 CE]"" (Nicol, 224). After the Ottoman conquest half-dirhams experienced more longevity than full-dirhams and are visible throughout Geniza sources as mayedes/מאיידיש מיידיס (and this term's many analogues). It is crucial to note that weights changed considerably in Egypt following Selim I's conquest as valuations came to reflect the design of Ottoman administrators rather than defunct Mamluk standards. At the time of the 1516-1517CE conquest, ""the silver half dirhams were reckoned as 25 to the gold ashrafi. The lower weight of the silver medin issued under Selim I was a decrease of about 20 percent and effectively raised the silver to gold coin ratio to 30 maydins to one sulṭānī. Beginning with the reign of Suleymān I in 926 H., new silver paras were issued weighing only about 0.7 grams with the same value as the contemporary akçes struck in the rest of the empire. The ratio evenutally rose to 50 of the old half dirhams to the sulṭānī or 90 of the new paras. The crux of the problem was one of bureacratic manipulation: the taxes were levied on the basis of the new paras, but were usually paid in the older Mamlūk half dirhams as they were much more common than the new coins. The [Ottoman] tax collectors demanded payment at the official rate of one Mamlūk half-dirham for each two and a quarter paras tax in the newly issued paras"" (Ibid, 224).",coin; Medieval; Fatimid; Ayyubid; Mamluk; Ottoman,,"ENA 4011.62r line 7 (upper), ENA NS 18.26v line 4 (lower)",Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Balog, Paul. ""History of the Dirhem in Egypt from the Fāṭimid Conquest until the collapse of the Mamlūk Empire."" Revue Numismatique 6.3 (1961): 109-146.

►Diem, Werner. Hans-Peter Radenberg. A Dictionary of the Arabic Material of S.D. Goitein's A Mediterranean Society. Wiesbaden: Otto Harrassowitz Verlag, 1994.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Malloy, Alex G. Irene Fraley Preston. Arthur J. Seltman. Coins of the Crusader States, 1098-1291: Including the Kingdom of Jerusalem and Its Vassal States of Syria and Palestine, the Lusignan Kingdom of Cyprus (1192-1489), and the Latin Empire of Constantinople and Its Vassal States of Greece and the Archipelago. Attic Books, 1994.

►Nicol, Norman D. ""The Post-Ottoman Conquest Coinage of Egypt."" in The 2nd Simone Assemani Symposium on Islamic Coins. Bruno Callegher and Arianna D'Ottone. eds. Trieste: Edizioni Università di Trieste, 2010. 220-230."
ccg0017,dirhamfractions_file.jpg,dirham fractions,רבע דרהם,,Judaeo-Arabic,image/jpeg,"Silver coin fragments, ""fractions of dirhams cut up in irregular shapes"" that Goitein notes are frequently referenced in documents with the formula ""al-darāhim al-mutaqaṭṭi'a al-muta'āmal bihā bil-diyār al-miṣriyya"" or ""the cut up dirhems which are legal tender in Egypt"" (Goitein, MS I, 385). These fractions could also indicate account figures rather than physical coinage. For examples of dirham fractions, see: ENA 2591.6.",coin; unit of account; Medieval; fractions,,ENA 2808.57v line 16,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0018,dirhamweight_file.jpg,dirham (unit of weight),درهم דרהם,,Judaeo-Arabic,image/jpeg,"Unit of weight that Goitein urges is ""not to be confused with the coin bearing the same name."" This distinct unit was equivalent to ""3.125 grams [and].... The common pound of Fustat, raṭl, consisted of 144 dirhems (or 12 ounces, ūqiya, of 12 dirhems approximately 450 grams)"" (Goitein, MS I, 360). In the nineteenth century this unit of weight was still commonly 3.12 grams in Egypt (Marsot, x). The image featured in this entry enumerates the common pound of Fustat as ""דרהם ק׳׳ומ׳׳ד׳׳"" which is ""100 and 44 dirham."" ",unit of weight; Medieval and Early Modern,,T-S AS 153.361r lines 5-6,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984."
ccg0019,dirhamaswad_file.jpg,dirham aswad (pl. darāhīm sawād),דראהם סואד,,Judaeo-Arabic,image/jpeg,"A variant of the medieval dirham that was of lower silver content and was known across the Fatimid and Ayyubid periods that was sometimes referred interchangeably as dirham wariq. The black dirham took its name from the discoloration of silver that had been alloyed with copper, tin, and other metals to produce what is known today in English as billon alloy. The silver content was commonly 33% or less. Bresc also notes, that ""during the thirteenth century, the majority of the bulk of silver produced in Egypt consisted of these dirham aswad whose coinage ended under the rule of the Sultan al-Kamil [in 1225 CE]"" (Bresc, 410-411; Ehrenkreutz, 504). There is not a consensus in the secondary literature as to whether wariq/waraq was always an interchangeable term with dirham aswad. While Bresc interprets them as one and the same, Goitein estimates that black dirhams could have an exchange value as low as 100 to 1 dīnār, whereas wariq/waraq dirhams had a higher value of 50 to 1 (Goitein, MS I, 388). Assuming that these coinage types were the same, the variation Goitein uncovered might be explained by the fact that the fineness of low-quality dirhams was often inconsisent and led to multiple attempts by Ayyubid sultans at abolishing their production/circulation (Bates, 73; Ehrenkreutz, 504).",coin; Medieval; Ayyubid; Fatimid,,T-S 10J5.1 line 6,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Bresc, Cécile. ""Quseir al-Qadim: a Hoard of Islamic Coins from the Ayyubid period."" Revue Numismatique 164.6 (2008): 407-436.

►Ehrenkreutz, Andrew S. ""Contributions to the Knowledge of the Fiscal Administration of Egypt in the Middle Ages."" Bulletin of the School of Oriental and African Studies 16, no. 3 (1954): 502-514.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0020,diwani_file.jpg,dīwānī(s),ديواني דיואני דיואניס,,"Judaeo-Arabic, Judaeo-Spanish",image/jpeg,"Currency that is ""conforming to official regulation"" (Raymond, 69). The term is used in geniza documents to distinguish the currency in use from prior coinage that was produced according to distinct mintage standards of weight and precious metal content (for examples of the latter usage see the entries for ḥeẓi gedolim and thaqīl). The image featured in this entry displays a common phenomenon by which ""dīwānī"" took on a final samech as dīwānīs– perhaps through the influence of Judaeo-Spanish plural forms.",currency quality; Early Modern; Ottoman; Judaeo-Spanish influence,,ENA NS 30.5r line 12,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973."
ccg0021,doukaton_file.jpeg,doukaton,δουκάτον,"basilikon, grosso","Judaeo-Arabic, Arabic",image/jpeg,"Alternative label for the Byzantine silver basilikon that was in use in the late medieval east Mediterranean and was issued as an imitation of the Venetian grosso (Morrisson et. al., 53).",coin; Byzantine; Medieval; currently unattested,1304,Currently Unattested in the Cairo Geniza,,,,,,"►Morrisson, Cecile, Jean-Noel Barrandon, and V. Ivanisevic. ""Late Byzantine Silver and Billon coinage: a study of its composition."" Royal Numismatic Society 30 (1998): 52-70."
ccg0022,ducado_file.jpg,ducado(s),דוקאדוש ,"ducato, zecchino, bunduqī, şerīfī bunduk, sequin, peraḥīm, efrenciye, flori",Judaeo-Spanish,image/jpeg,"Gold coin minted by Venetian Republic from 1284CE until its dissolution in 1797CE, that came to be known widely as the zecchino in the early modern period and vast array of other terms across the languages of the Mediterranean. The term derives from the ""Latin ducatus, 'of the duke'  or 'of the doge"" and in certain instances may also be a synonym for the silver grosso (Dumbarton Oaks).",coin; Venetian; Medieval and Early Modern,1284,T-S K25.39r line 9,Cambridge University Library,,no,Image courtesy of Cambridge University Library,,"►Dumbarton Oaks Research Library and Collection, ""Glossary of Numismatic Terms,"" https://www.doaks.org/resources/coins/glossary."
ccg0023,ecu_file.jpg,écu d'or,,,French,image/jpeg,"Gold coin minted under French monarchy across the medieval and early modern centuries. It was first produced in 1266CE with standards similar to the florin in an effort to counter the growing dominance of Florentine currency in international markets (Grierson, 277).",coin; French; Medieval and Early Modern; currently unattested,1266,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0024,faddan_file.jpg,faddān,فدان פדאן,,Arabic,image/jpeg,"Unit of measuremant of property across medieval and early modern Egypt that Marsot notes ""equaled 6,368 square meters until reforms introduced by Mohammed Ali in the nineteenth century."" In the latter historical context Marsot notes that the faddan ""varied between 1,000 and 1,333 square meters"" (Marsot, x). In Arabic the term means literally, ""yoke of oxen"" in referencing the total cultivable ground that a team of oxen would cover when tilling crops (Rapoport, xv).",unit of area; Medieval and Early Modern,,T-S Ar.41.131r line 2,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984.

►Rapoport, Yossef. Rural Economy and Tribal Society in Islamic Egypt: A Study of al-Nābulusī's Villages of the Fayyum. Turnhout: Brepols, 2018."
ccg0025,faj_file.jpg,fāj,فاج פאג,,,image/jpeg,"Coin attested in Cairo Geniza India trade that Goitein notes was commonly subdivided into ""halves and thirds"" (Goitein, India Book Notes, 4C.2.7 page 6) and in the published edition of the India Book he observes that the fāj was a ""small Indian coin... [worth] less than one half dirhem"" (Goitein and Friedman, 638).",coin; Medieval; Malabar Coast; Indian Ocean,,T-S 20.137 line 20,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Goitein, S.D. Mordechai Friedman. India Traders of the Middle Ages: Documents from the Cairo Geniza 'India Book'. Leiden: Brill, 2007."
ccg0026,fanam_file.jpg,fanam,فنم פנם,,,image/jpeg,"Gold coin minted in medieval Southern India, and most importantly for research on Cairo Geniza traders, this denomination was in use along the western and eastern oceanic coasts between roughly 1000-1400CE, and in Mangalore, specifically, in the twelfth century when Abraham Ben Yiju traded there (under the Alupa dynasty). Wagoner notes: ""[the] hon, varāha or gadyāna (the 'pagoda' of European sources).... [was] provided with four fractional denominations in the form of half, quarter, tenth and twentieth units, the tenth unit was known as the fanam…. 'Fanam' represents a Portuguese corruption of the Indic terms paṇa (Sanskrit) and haṇa (Kannada)"" (Wagoner, 463). Accordingly, Sircar offers the conventional medieval weight of these coinage types as 87 grains (pagoda) to 6.87-8.37 grains (fanam) (Sircar, 243, 247). Further research into the fractional values of pagodas is needed in order to determine how they are related to Goitein's findings: ""the common coin of the Malabar coast was called fīlī.... the fīlī is subdivided into fanam.... other subdivisions of the Fili are a) rawbaj, a word registered in the Ar. dictionaries, but not defined, and b) hafsawāt"" (Goitein, India Book Notes, 4C.2.7 page 6). ",coin; Medieval; Malabar Coast; Indian Ocean,,ENA 1822A.66r line 14,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Sircar, Dineshchandra. Studies in Indian Coins. New Delhi: Motilal Banarsidass, 1968.

►Wagoner, Phillip B. ""Money use in the Deccan, c. 1350–1687: The role of Vijayanagara hons in the Bahmani currency system."" The Indian Economic & Social History Review 51.4 (2014): 457-480."
ccg0027,farasila_file.jpg,farāsila,فراسيلة פראסילה פראשילה,,,image/jpeg,"Unit of weight that Goitein uncovered in his research on the medieval India traders of the Cairo Geniza, which he calculated proportionally to mean that ""one farāsila contained 100 fills,"" yet also the ""farāsila had different values according to the mechandise being weighed"" (Goitein and Friedman, 559, 645). In his unpublished notes Goitein observed the existence of ""the Bahār, a weight of 300 pounds and its twentieth or 1/24 part, the Farāsila"" (Goitein, India Book Notes, 4C.2.7 page 6). This unit remained in use into the early modern period but shifted in proportional value relative to the bahār. For example, Brouwer notes that in early modern Mocha ""one bahār comprised 15 farāsil, one farāsila 10 amnān [plural of mann]"" (Brouwer, 237).",unit of weight; Medieval and Early Modern; Malabar Coast; Yemen; Indian Ocean,,T-S 20.137 line 20,Cambridge University Library,,yes,,,"►Brouwer, C. G. “Pepper Merchants in the Booming Port of Al-Mukha: Dutch Evidence for an Oceanwide Trading Network.” Die Welt Des Islams 44, no. 2 (2004): 214–80.

►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Goitein, S.D. Mordechai Friedman. India Traders of the Middle Ages: Documents from the Cairo Geniza 'India Book'. Leiden: Brill, 2007."
ccg0028,fels_file.jpg,fels,فلس פלס פלש,,Judaeo-Arabic,image/jpeg,"Copper coin minted in the Ottoman Empire, especially in Egypt, that was known to European merchants as ""bourbes"", ""bulbes"", or ""forles"" and had medieval Mediterranean precursors which bore the same labels of fels or in the plural fulus (Pamuk, 6, 176; Raymond, 37). Goitein notes that copper coins do not begin to appear commonly in Geniza documents until the thirteenth century and later (Goitein, MS I, 360). When a fels is listed as jadīd/new this is likely a reference to standards of mintage implemented in 1357CE during the second reign of al-Nāṣir Ḥasan. ",coin; Medieval and Early Modern,,T-S 24.72r line 30,Cambridge University Library,,yes,,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973."
ccg0029,fiddasuleymaniya_file.jpg,fiḍḍa Sulaymānīya,الفضة السليمانية,,Arabic,image/jpeg,Silver coinage minted according to standards implemented during the reign of Sultan Sulaymān I (1520-1566CE) or Sultan Sulaymān II (r. 1687-1691CE),coin; Early Modern; Ottoman; regnal variant,1520,ENA 3904.2r line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,
